餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
豐生茶館,茶館／餐廳,台中,非台北,hsu.yu.chang.1217,https://www.threads.com/@hsu.yu.chang.1217/post/DbCie4Qkl7W,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hsu.yu.chang.1217 4小時 萬客什鍋～酸筍鍋🤤🤤 去台中必吃🤤🤤 豐生茶館
雙月食堂,湯品／台式料理,,每月吃也不膩,sunnyyyfood,https://www.threads.com/@sunnyyyfood/post/Da_XL5nk6dk,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,sunnyyyfood 1天 雙月食堂 每個月吃都不會膩
雙連包公麵店,麵食,雙連,以前上班時幾乎每天吃,hbkkkiddd,https://www.threads.com/@hbkkkiddd/post/DbACoKtkiRP,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hbkkkiddd 1天 雙連包公麵店以前幾乎有上班就會吃
邊城,孜然羊肉,,推薦給喜歡羊肉的人,weiwei7810,https://www.threads.com/@weiwei7810/post/DbBGLEUEzn0,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,weiwei7810 18小時 邊城孜然羊肉，喜歡羊肉的人真的可以試看看
蘇杭點心店,中式點心,,小籠包、炒飯、炒年糕,bevis_cheng0605,https://www.threads.com/@bevis_cheng0605/post/DbChochGNqt,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,bevis_cheng0605 5小時 蘇杭點心店 小籠包、炒飯、炒年糕都好吃
麵屋雞金,拉麵,,穩定好吃,manoffish,https://www.threads.com/@manoffish/post/Da-WRREGKIU,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,manoffish 1天 麵屋雞金吧，穩定好吃
饗食天堂,自助餐,,平日午餐CP值高,0515roger,https://www.threads.com/@0515roger/post/DbAlIWgkahE,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,0515roger 23小時 饗食天堂，每月平日午餐一刷，不是特別好吃，就單純CP值高
饗樂火鍋,火鍋,民生東路五段,,staring82712,https://www.threads.com/@staring82712/post/DbAT6IbkR51,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,staring82712 1天 饗樂火鍋 在民生東路五段
饗樂鍋,火鍋,台北（飯店一樓）,開在飯店一樓,joypot.68,https://www.threads.com/@joypot.68/post/Da-Wgttk_AN,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,開在飯店一樓的饗樂鍋
饗醬燒烤吃到飽,燒烤吃到飽,中和,原留言建議998元以上方案,andrew_hsu_0117,https://www.threads.com/@andrew_hsu_0117/post/DbAe08YkWyj,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,andrew_hsu_0117 1天 中和饗醬燒烤吃到飽，必吃998以上
